category	function	target	original_range	original_section	current_state	boundary	newgold_implementation	evidence	recommended_action	dependency	validation
AI_DIRECT_BYTE_READER	ov10_0221D0A8	asm/overlay_10_trainer_ai.s:2261	0x0221D0A8..0x0221D188	OVY_10	MATCHING C (M10)	AI cache u8 ctx+0x390; raw BattleMon u8 ctx+0x2D67	abilities.s moves only cache writer to 0x3E0 and battle ability to 0x2DBA	Cache derived from 0x3CF-0x3F; raw ability from 0x2DC0-0x59 or literal 0x2D67; base-stat fallback returns full r0	Native typed reads now in src/battle/trainer_ai_ability.c; preserve ABI until full storage/consumer plan permits widening	AI cache layout; BattleMon layout	Both complete HG/SS ROMs and overlay10 byte-identical to M9; compiled size 224 bytes; no ability width change
AI_DIRECT_BYTE_READER	ov10_0221D188	asm/overlay_10_trainer_ai.s:2378	0x0221D188..0x0221D260	OVY_10	MATCHING C (M10)	AI cache u8 ctx+0x390; raw BattleMon u8 ctx+0x2D67	No matching source replacement; abilities.s patches writer only	mov r1,#0x39 / lsl #4 / ldrb; raw BattleMon literal or 0x2DC0-0x59	Native typed reads now in src/battle/trainer_ai_ability.c; preserve ABI until full storage/consumer plan permits widening	AI cache layout; BattleMon layout	Both complete HG/SS ROMs and overlay10 byte-identical to M9; compiled size 216 bytes; no ability width change
AI_DIRECT_BYTE_READER	ov10_0221F62C	asm/overlay_10_trainer_ai.s:7225	0x0221F62C..0x0221F7F0	OVY_10	MATCHING C (M11)	Raw BattleMon u8 ctx+0x2D67, compared with Wonder Guard25	No matching source replacement found	Literal at 0x0221F7DC; caller ov10_022203A4 calls at 0x022204F2 path	Native typed BattleMon read now in trainer_ai_switch_wonder_guard.c; widen only with the complete storage contract	BattleMon layout	Both complete HG/SS ROMs and overlay10 byte-identical to M10; compiled size 452 bytes; no ability width change
AI_ACCESSOR_NARROWING	ov10_0221FE8C	asm/overlay_10_trainer_ai.s:8268	0x0221FE8C..0x02220010	OVY_10	MATCHING C (M11)	GetMonData(ABILITY) narrowed to8bits	Source trainer_ai.s edits move-table lookup in this function but no ability cast change found	lsl r0,#24 / lsr r1,#24 after GetMonData at line8425; compares Flash Fire18/Water Absorb11/Volt Absorb10; 274/267/266 alias respectively	Original u8 cast retained in trainer_ai_switch_absorb.c for matching vanilla validation; use full ability result in the later expanded-ID milestone	Expanded ability semantics decision	Both complete HG/SS ROMs and overlay10 byte-identical to M10; compiled size 388 bytes; no ability width change
AI_CACHE_WRITE	BattlerSetAbility	src/battle/battle_command.c:8114	0x02248648..0x02248652	OVY_12	C upstream	u8 parameter and u8[4] store	armips/asm/abilities.s:102 patches original02248648 to strh ctx+0x3E0+2*battler	Callers are BtlCmd_UpdateMonData, BtlCmd_UpdateMonDataFromVar and ov12_0224819C; prototype at line60	Widen parameter and typed cache coherently with both readers/reset; do not reproduce address relocation	AI cache ABI	NOT RUN; static source/ASM trace only
AI_CACHE_RESET	ov12_0225859C	src/battle/overlay_12_0224E4FC.c:6578	0x0225859C..0x022585A8	OVY_12	C upstream	u8 cache slot cleared toABILITY_NONE	No source cache-reset patch found	Two callers at source lines1867/1939; source original address0225859C remains old cache	Clear same typed slot used by writer/readers	AI cache ABI	NOT RUN; static source/ASM trace only
AI_CACHE_PRODUCER	ov12_0224819C	src/battle/battle_command.c:7936	0x0224819C..0x022481D0	OVY_12	C upstream	Raw BattleMon ability copied into u32 local; passed to u8 writer	abilities.s022481BC/022481CC; MessageParamTokuseiGet	Message placeholder publishes ability to AI; msgTemp branch reads abilityTemp without publishing	Native member automatically follows chosen layout; widen callee parameter	BattleMon+AI cache	NOT RUN; static source/ASM trace only
AI_CACHE_LAYOUT	TrainerAIData	include/battle/battle.h:116	-	-	C declaration	abilities[4] at relative0x3C/ctx0x390; heldItems0x40; moveData0x8A/ctx0x3DE	Source BattleAIWorkTable still declares u8 ai_tokusyu_no[4]; patched writer separately uses0x3E0	Offsets recovered from original ASM and source field comments; target cross-compiler offsetof proof NOT produced in this bounded audit	Do not simply grow array in place: following members and entire following BattleContext fields move	ABI preservation or complete affected-ASM conversion	NOT RUN; static source/ASM trace only
SOURCE_CACHE_INCONSISTENCY	ov10_0221C278	asm/overlay_10_trainer_ai.s:437	0x0221C278..0x0221C384	OVY_10	ASM	Default AI interpreter dispatches handlers through ov10_0222B0B4	Only AITypeCalc replaced in src/battle/ai.c; debug entry replacements disabled in default manifests	Dispatch table contains both ability handlers. Only enabled overlay10 manifest hook is ai_switch_ban_for_bind_hook; DEBUG_BATTLE_SCENARIOS entry hooks disabled	Treat unchanged reader/reset vs moved writer as static inconsistency, not runtime-proven defect; choose intended native cache behavior explicitly	Source move-table expansion frees old0x3DE region	NOT RUN; static source/ASM trace only
ASM_WIDTH_SAFE_ACCESSOR	ov10_0221E2CC	asm/overlay_10_trainer_ai.s	0x0221E2CC..0x0221E460	OVY_10	ASM	GetMonData(ABILITY) retained in full registers/word stack slots	AI damage helpers consume full integers	Reviewed accessor call sequences; source-level casts in callees still require own audit	No ability-width edit demonstrated here; leave unchanged if referenced layouts/ABIs retained	Layout offsets must remain valid	NOT RUN; static source/ASM trace only
ASM_WIDTH_SAFE_ACCESSOR	ov10_0221F7F0	asm/overlay_10_trainer_ai.s	0x0221F7F0..0x0221FD34	OVY_10	ASM	GetMonData(ABILITY) retained in full registers/word stack slots	AI damage helpers consume full integers	Reviewed accessor call sequences; source-level casts in callees still require own audit	No ability-width edit demonstrated here; leave unchanged if referenced layouts/ABIs retained	Layout offsets must remain valid	NOT RUN; static source/ASM trace only
ASM_WIDTH_SAFE_ACCESSOR	ov10_02220010	asm/overlay_10_trainer_ai.s	0x02220010..0x02220270	OVY_10	ASM	GetMonData(ABILITY) retained in full registers/word stack slots	AI damage helpers consume full integers	Reviewed accessor call sequences; source-level casts in callees still require own audit	No ability-width edit demonstrated here; leave unchanged if referenced layouts/ABIs retained	Layout offsets must remain valid	NOT RUN; static source/ASM trace only
ASM_WIDTH_SAFE_ACCESSOR	ov12_02258800	asm/overlay_12_battle_controller_opponent.s:215	0x02258800..0x02258BA0	OVY_12	ASM	GetMonData ability stored as word	Debug hook only disabled by default	Ability passed to type calculation as full word	No width edit indicated in reviewed path	Retain context offsets	NOT RUN; static source/ASM trace only
PARTY_HEAL_TRANSPORT	BattleControl_EmitPartyStatusHeal	src/battle/battle_controller_party_heal.c:19	0x02263CE8..0x02263D14	OVY_12	MATCHING C (M7)	BattleMon ability -> explicitu8 command42 payload	abilities.s02263CFC/02263D10 widens load but packet remains byte	Parent traced receiver: byte compared only to Mold Breaker104; no256..319 ability aliases104 (first360)	Widen source member/load; do not widen packet solely for current predicate	BattleMon layout	NOT RUN; static source/ASM trace only
PARTY_HEAL_RECEIVER	ov12_02259358	asm/overlay_12_battle_controller_opponent.s:1540	0x02259358..0x022593D4	OVY_12	ASM	Packet byte==104; party GetMonData ability fullu32==43	Original packet semantics retained by NewGold	Parent independently traced Soundproof43 fullword branch; no gameplay verification	Current predicate preserved for0..319 despite lossy transport; no demonstrated reason for protocol widening	Revisit if source mechanics add more comparisons	NOT RUN; static source/ASM trace only
BATTLE_COPY_PROTOCOL	BattleController_EmitBattleMonToPartyMonCopy	asm/overlay_12_battle_controller.s:3502	0x02263B4C..0x02263CB0	OVY_12	ASM	Separate battle-to-party packet; receiver references ability at+0x24	Not fully traced in this bounded audit	Receiver ov12_022591F4 passes pointer to packet+0x24 only when +0x28 condition set; sender size/member proof pending	Finish sender field provenance/width before changing SetMonData pointer ABI	Battle copy protocol	NOT RUN; static source/ASM trace only
BATTLE_COPY_PROTOCOL	ov12_022591F4	asm/overlay_12_battle_controller_opponent.s:1462	0x022591F4..0x022592D0	OVY_12	ASM	SetMonData(ABILITY, packet+0x24)	No explicit ability patch found in reviewed manifests	Relevant call traced; field size not established	Confirm source storage width in sender and receiver together; not automatically unsafe	MON_DATA_ABILITY pointer ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	BattleSystem_GetBattleMon	src/battle/overlay_12_0224E4FC.c	0x0224E4FC..0x0224EA14	OVY_12	C upstream	GetMonData result stored in BattleMon.ability	abilities.s0224E780/0224E7A0/0224E914	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	GetBattlerVar	src/battle/overlay_12_0224E4FC.c	0x0224EDE0..0x0224F166	OVY_12	C upstream	returns ability as int	abilities.s0224EF36	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	SetBattlerVar	src/battle/overlay_12_0224E4FC.c	0x0224F168..0x0224F794	OVY_12	C upstream	BMON_DATA_ABILITY reads *data8	abilities.s0224F320	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	GetBattlerAbility	src/battle/overlay_12_0224E4FC.c	0x022527CC..0x02252834	OVY_12	C upstream	suppression/gravity/ingrain checks and returned member	abilities.s02252830 + hooks GetBattlerAbility022527CC	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	ov12_022585B8	src/battle/overlay_12_0224E4FC.c	0x022585B8..0x0225865C	OVY_12	C upstream	Trace candidate checks raw ability against Forecast/Trace/Multitype	abilities.s022585CC..02258654 (previously unknown target)	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	BattleFormChangeCheck	src/battle/overlay_12_0224E4FC.c	-	-	C upstream	recomputes BattleMon ability from party mon	abilities.s02256F24	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	CalcMoveDamage	src/battle/overlay_12_0224E4FC.c	0x02256FF8..0x02257C30	OVY_12	C upstream	MoveDamageCalc ability fields consume accessor results	Source native battle damage replacement	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_C_CONSUMER	TryCriticalHit	src/battle/overlay_12_0224E4FC.c	0x02257C5C..0x02257D6C	OVY_12	C upstream	local int ability reads member	Source battle replacement	-	Use typed member/accessor; SetBattlerVar specifically needs16-bit input selection	BattleMon ABI; accessor ABI	NOT RUN; static source/ASM trace only
BATTLE_LAYOUT	BattleMon	include/battle/battle.h:230	-	-	C declaration	Original abilityu8 at0x27; original battle stride0xC0	Source moves abilityu16 to0x7A, leaves0x27 dummy, preserves0xC0	Source struct claims0x7A ability after held item; native layout must be compiled/asserted before choosing this placement	Prove selected padding free and preserve all other offsets; do not insert u16 at0x27	Direct ASM reader conversions	NOT RUN; static source/ASM trace only
BATTLE_C_SETTER_CALL	BtlCmd_UpdateMonData	src/battle/battle_command.c:1816;2038	0x0223F38C..0x0223F4AE	OVY_12	C upstream	int var passed to cache writer and SetBattlerVar	Source patched cache writer / battler setters	-	Existing int local is wide enough; callee ABI/member widths must change together	AI writer; SetBattlerVar	NOT RUN; static source/ASM trace only
BATTLE_C_SETTER_CALL	BtlCmd_UpdateMonDataFromVar	src/battle/battle_command.c:1816;2038	0x0223F734..0x0223F894	OVY_12	C upstream	int var passed to cache writer and SetBattlerVar	Source patched cache writer / battler setters	-	Existing int local is wide enough; callee ABI/member widths must change together	AI writer; SetBattlerVar	NOT RUN; static source/ASM trace only
SAVED_ABILITY_READ	GetBoxMonDataInternal	src/pokemon.c:550	0x0206E6A0..0x0206EC40	main	C upstream	Returns blockA->ability; raw Multitype comparison atline864	hooks:52 -> asm/other_hook.s:706 -> src/pokemon.c::GetBoxMonData_EditedCases	Source packs abilityMSB in EXP word bit31; source EXP low21bits	Implement9-bit native decode and update raw comparison; preserve encryption/checksum and EXP interpretation	Saved ABI decision	NOT RUN; static source/ASM trace only
SAVED_ABILITY_WRITE	SetBoxMonDataInternal	src/pokemon.c:1021	0x0206EDE8..0x0206F558	main	C upstream	Reads VALUE(u8)	hooks:53 -> asm/other_hook.s:744 -> SetBoxMonData_EditedCases reads u16*	Source pointer casts to u8* from u32 objects are large-enough on DS; genuineu8 objects are unsafe for u16 read	Define pointer payload type explicitly; fix every byte-backed caller before changing read width	All setter callsites; saved ABI	NOT RUN; static source/ASM trace only
SAVED_ABILITY_ADD	AddBoxMonData	src/pokemon.c:1565	-	-	C upstream	MON_DATA_ABILITY falls into unsupported/no-op group	hooks:54 -> asm/other_hook.s:771 -> AddBoxMonData_EditedCases assigns supplied9-bit ability	Source masks ability to9bits; AddBoxMonData(ABILITY) is assignment rather than arithmetic addition	Port source set-like behavior deliberately; EXP operation preserves ability bit	Saved ABI	NOT RUN; static source/ASM trace only
PERSONAL_RESOURCE	BASE_STATS	include/pokemon_types_def.h:33; files/poketool/personal/personal.json.txt:45	-	-	C/native resource generation	u8 abilities[2] at0x16/17; recordsize0x2C	abilities.s0206FB80/0206FB84 uses u16 at0x16 and0x1A	Native template uses sizeof(BaseStats), field initializers; source steals oldpadding differently	Retain native generation, choose explicit layout with all consumers; do not import raw source records	Ability constants/resources; personal-reader ABI	NOT RUN; static source/ASM trace only
PERSONAL_READ	GetMonBaseStat_PreloadedPersonal	src/pokemon.c:1805	-	-	C upstream	BASE_ABILITY_1/2 storage narrow, returnu32	abilities.s0206FB80/0206FB84	Exact native name must be checked if renamed; positions identified by source cases	Update native member reads through chosen personal format	BASE_STATS layout	NOT RUN; static source/ASM trace only
FORM_ABILITY	SetBoxMonAbility	src/pokemon.c:3816	-	-	C upstream	ability1/2 int locals passed to SetBoxMonData	hooks:199 -> src/pokemon.c::SetBoxMonAbility incl hidden+swappedslotflags	Source hidden table u16 from addon NARC; flags RESERVED_113/114; no raw addon repoint should be ported	Widen ordinary assignment first; hidden abilities/form expansion separate scope	Saved+personal+form lookup	NOT RUN; static source/ASM trace only
FORM_ABILITY	CreateBoxMon	src/pokemon.c:243	0x0206DED0..0x0206E108	main	C upstream	u32 exp/iv locals reused to assign base abilities	Source CreateBoxPokemon replacement	-	Pointer storage already >=16bits; keep native creation flow	Personal/saved accessors	NOT RUN; static source/ASM trace only
SCRIPT_ABILITY	ScrCmd_GiveMon	src/scrcmd_party.c:28	0x0204D088..0x0204D154	main	C upstream	u16 ability passed to GiveMon u8 argument	abilities.s0204D132 removes8-bit narrowing	Native script operand alreadyu16	Widen GiveMon declaration/definition parameter coherently	Saved setter ABI	NOT RUN; static source/ASM trace only
SCRIPT_ABILITY	GiveMon	src/script_pokemon_util.c:22	0x020541DC..0x02054278	main	C upstream	u8 parameter address passed to setter	hooks:200 fully replaces at020541DC; source replacement stillu8; abilities.s02054248 patches dead original body	Previously unknown patch02054248 lies within original GiveMon; original-body patch is superseded by full hook	Use nativeu16 parameter and safe pointer; document source mismatch instead of preserving out-of-bounds read	Script caller; saved setter	NOT RUN; static source/ASM trace only
EGG_ABILITY_CAST	UNRESOLVED_NAME (get_egg.c:649)	src/get_egg.c:649	-	-	C upstream	u8 local from GetMonData	No widening patch established	Containing function label in this row is descriptive; actual function name not rechecked before requested audit stop	Use full ability ID for Magma Armor40/Flame Body49 predicate; above255 aliases296/305 possible	Saved accessor	NOT RUN; static source/ASM trace only
FIELD_ABILITY_CAST	EncounterGenState	src/field/encounter_check.c:58;1378	-	-	C private struct	u8 ability populated from GetMonData; NUM_ABILITIES used sentinel	Source encounter hooks alter behavior but target narrowing remains to address	Consumers local to same C translation unit; no ASM dependency established for this private record	Widen private field and helper ability parameter where needed; preserve egg sentinel and field predicates	NUM_ABILITIES expansion	NOT RUN; static source/ASM trace only
FIELD_WIDTH_SAFE	CheckRockSmashItemDrop	src/field/rock_smash_item.c:132	0x02204CF8..0x02204D9E	field	C upstream	int ability local and env ability (verify declaration before edit)	Source ability field behavior may extend	Do not change merely because word ability appears	No narrowing demonstrated in reviewed local path	Sentinel+new behavior separate	NOT RUN; static source/ASM trace only
PC_ABILITY_PRODUCER	ov14_021E7358	src/pc_box_display.c:31	0x021E7358..0x021E7468	OVY_14	MATCHING C (M6)	u8 per-record ability at0x0E	hooks:226 -> asm/other_hook.s::BoxDisplayMon_StoreAbility writes executable scratch021E73B8	Current28-byte record positions proven duringM6; this row does not claim expanded IDs ported	Native per-record widened ability; preserve all other offsets or convert affected other-field readers	PC record ABI	NOT RUN; static source/ASM trace only
PC_ABILITY_RENDERER	ov14_021F528C	src/pc_box_display_ability.c:20	0x021F528C..0x021F52FC	OVY_14	MATCHING C (M6)	Loads same byte field into BufferAbilityName	hooks:227 -> BoxDisplayMon_GrabAbility reads global executable scratch	-	Use same typed per-record ability, no sharedscratch	PC record ABI; name resources	NOT RUN; static source/ASM trace only
SUMMARY_PRODUCER	sub_0208981C	asm/unk_02088288.s:2665	0x0208981C..0x02089C50	main	MATCHING C (M8)	abilitybyte record+0x32/ctx0x262; formbyte+0x4E/ctx0x27E	abilities.s02089A2A ability movedto4E/u16;02089B30 formmovedto32	-	Finish matching native constructor then choose explicit layout preserving other consumers	Summary record ABI	NOT RUN; static source/ASM trace only
SUMMARY_RENDERER	sub_0208D178	asm/unk_0208C3E4.s	0x0208D178..0x0208D474	main	MATCHING C (M8)	Ability name/description byte loads	abilities.s0208D376/0208D3C4/0208D464; EV/IV hook also targetsfunction	-	Use typed ability in native renderer; preserve other display state	Summary constructor+name/description resources	NOT RUN; static source/ASM trace only
FRONTIER_BYTE_RECORD	sub_0204B834	src/unk_0204B538.c:253	0x0204B834..0x0204BA04	main	C upstream	personal ability -> FrontierMon.abilityu8	No corresponding source width change established	-	Define Frontier record format before exposing newIDs; no silent truncation	FrontierMon ABI/save/network compatibility	NOT RUN; static source/ASM trace only
FRONTIER_BYTE_RECORD	SetFrontierMon	src/unk_0204A3F4.c:694	0x0204B34C..0x0204B470	main	C upstream	GetMonData ability -> FrontierMon.abilityu8	No corresponding source width change established	-	Define Frontier record format before exposing newIDs; no silent truncation	FrontierMon ABI/save/network compatibility	NOT RUN; static source/ASM trace only
FRONTIER_ASM_BYTE_BOUNDARY	ov80_02229F6C	asm/overlay_80_02229EE0.s:254	0x02229F6C..0x0222A140	OVY_80	MATCHING C (M14)	base-stat result -> byte at record+0x20	No corresponding source width change established	These are ability producers/importer, not merely layout-shift exposure	Native C in src/frontier/frontier_mon.c; retain original record and pointer ABI until the complete serialization policy permits widening	FrontierMon serialization and affectedoffset consumers	Both complete HG/SS ROMs and overlay80 byte-identical to M13; compiled size 468 bytes; no ability width change
FRONTIER_ASM_BYTE_BOUNDARY	ov80_02236734	asm/overlay_80_02236450.s:564	0x02236734..0x0223690C	OVY_80	MATCHING C (M14)	base-stat result -> byte at record+0x20	No corresponding source width change established	These are ability producers/importer, not merely layout-shift exposure	Native C in src/frontier/frontier_tower_mon.c; retain original record and pointer ABI until the complete serialization policy permits widening	FrontierMon serialization and affectedoffset consumers	Both complete HG/SS ROMs and overlay80 byte-identical to M13; compiled size 472 bytes; no ability width change
FRONTIER_ASM_BYTE_BOUNDARY	ov80_0222A140	asm/overlay_80_02229EE0.s:473	0x0222A140..0x0222A30C	OVY_80	MATCHING C (M14)	SetMonData(ABILITY, pointer to record+0x20byte)	No corresponding source width change established	These are ability producers/importer, not merely layout-shift exposure	Native C in src/frontier/frontier_mon.c; retain original record and pointer ABI until the complete serialization policy permits widening	FrontierMon serialization and affectedoffset consumers	Both complete HG/SS ROMs and overlay80 byte-identical to M13; compiled size 460 bytes; no ability width change
TRAINER_HOUSE_IMPORT	UNRESOLVED_NAME (overlay_25.c:279)	src/overlay_25.c:279	-	-	C upstream	SetMonData from TrainerHouseMon.abilityu8	No source serialization widening established	Containing function name not rechecked; exact call location supplied	Use explicit conversion local of setter payload width; high IDs require own compatibleformat	TrainerHouse saved/IR format	NOT RUN; static source/ASM trace only
TRAINER_HOUSE_LAYOUT	TrainerHouseMon / THOUSE_MON	include/save_trainer_house.h:52;include/trainer_house.h:17	-	-	C declarations	abilitybyte at+0x20; saved or received record	Source retains several original binary formats	-	Do not globally enlarge protocol/save structs; define translation contract	Pokewalker/IR/TrainerHouse compatibility	NOT RUN; static source/ASM trace only
POKEWALKER_ASM_BYTE_BOUNDARY	ov112_021EEAF0	asm/overlay_112.s:18230	0x021EEAF0..0x021EECF0	OVY_112	ASM	SetBoxMonData ability pointer ctx+0xAD2F byte	No source width change found in reviewed manifests	Adjacent+0xAD30 is separate field; cannot readu16 blindly	Preserve external protocol; stage explicit translation/unsupported-ID decision, fix pointerwidth safely	Pokewalker/TrainerHouse wire format	NOT RUN; static source/ASM trace only
POKEWALKER_ASM_BYTE_BOUNDARY	ov112_021F33D8	asm/overlay_112.s:27537	0x021F33D8..0x021F35A4	OVY_112	ASM	GetMonData ability -> serialized recordbyte+0x20	No source width change found in reviewed manifests	Adjacent+0xAD30 is separate field; cannot readu16 blindly	Preserve external protocol; stage explicit translation/unsupported-ID decision, fix pointerwidth safely	Pokewalker/TrainerHouse wire format	NOT RUN; static source/ASM trace only
ADDITIONAL_UI_ASM_BYTE_BOUNDARY	ov83_02241E18	asm/overlay_83.s:7865	0x02241E18..0x02241FF0	OVY_83	MATCHING C (M12)	GetMonData ability storedbyte ctx+0x810	No corresponding source width patch established	UI semantic label not recovered in bounded audit; exact functions and byteflow established; M12 message-bank evidence identifies player summary; include/overlay_83.h documents shared 0x34-byte record	Native typed record constructor in src/overlay_83_player_mon.c; convert its renderer before widening ability	Overlay83 UI record/name resource	Both complete HG/SS ROMs and overlay83 byte-identical to M11; compiled size 472 bytes; layout assertions pass
ADDITIONAL_UI_ASM_BYTE_BOUNDARY	ov83_022421E0	asm/overlay_83.s:8442	0x022421E0..0x02242814	OVY_83	NONMATCHING C, instruction-equivalent (M13)	byte ctx+0x810 -> BufferAbilityName	No corresponding source width patch established	UI semantic label not recovered in bounded audit; exact functions and byteflow established; M13 preserves message-bank 31 player summary rendering	Native typed renderer in src/overlay_83_player_summary.c; widen only with the complete ability storage/consumer contract	Overlay83 UI record/name resource	1588 bytes; one independent stack load reordered, exact instruction-equivalence audit passes; both full ROM builds pass; boot/menu smoke only, no Frontier gameplay test
ADDITIONAL_UI_ASM_BYTE_BOUNDARY	ov83_02245D48	asm/overlay_83.s:15614	0x02245D48..0x02245F24	OVY_83	MATCHING C (M12)	GetMonData ability storedbyte ctx+0x5C8	No corresponding source width patch established	UI semantic label not recovered in bounded audit; exact functions and byteflow established; M12 message-bank evidence identifies opponent summary; include/overlay_83.h documents shared 0x34-byte record	Native typed record constructor in src/overlay_83_opponent_mon.c; convert its renderer before widening ability	Overlay83 UI record/name resource	Both complete HG/SS ROMs and overlay83 byte-identical to M11; compiled size 476 bytes; layout assertions pass
ADDITIONAL_UI_ASM_BYTE_BOUNDARY	ov83_02246114	asm/overlay_83.s:16248	0x02246114..0x0224691C	OVY_83	MATCHING C (M13)	byte ctx+(0x554+0x74) -> BufferAbilityName	No corresponding source width patch established	UI semantic label not recovered in bounded audit; exact functions and byteflow established; M13 preserves message-bank 33 opponent CP information/visibility rendering	Native typed renderer in src/overlay_83_opponent_summary.c; widen only with the complete ability storage/consumer contract	Overlay83 UI record/name resource	2056 bytes; compiled instructions identical to M12; both full ROM builds pass; boot/menu smoke only, no Frontier gameplay test
ASM_WIDTH_SAFE_ACCESSOR	ov08_0221D184	asm/overlay_08.s:2609	0x0221D184..0x0221D438	OVY_8	ASM	GetMonData ability ->u16 record+0x1C	No width fix required for reviewed ability path	These must not be counted as new ASM decomp requirements solely due to abilitywidth	Retain existing ASM when other layouts remain stable; validate name indices/newpersonal semantically	Accessor/resource changes	NOT RUN; static source/ASM trace only
